Year,Data
1970,291.7387700000001
1971,309.04795
1972,334.93308
1973,400.17281
1974,569.30958
1975,651.8360700000002
1976,694.97005
1977,789.7993799999998
1978,852.2651400000002
1979,1101.42139
1980,1503.28639
1981,1902.75227
1982,1605.64906
1983,1527.28097
1984,1515.45795
1985,1443.96447
1986,1134.72959
1987,1240.68094
1988,1230.41006
1989,1364.15982
1990,1663.1425800000004
1991,1675.08069
1992,1663.97723
1993,1771.6036600000002
1994,1681.99691
1995,1541.1418199999996
1996,1814.28092
1997,1911.11476
1998,1719.63962
1999,1927.76738
2000,2444.63425
2001,2401.38205
2002,2264.54676
2003,2612.58628
2004,3238.4955600000008
2005,4192.44555
2006,4915.69468
2007,5486.89956
2008,6270.791
2009,4193.121
